car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
volkswagen polo,2010,diesel,65271,271399,pune,1815,hatchback,manual,highline1.2l diesel,True,navi mumbai,maharashtra,True,mh43,inperson_sale,volkswagen,polo,in_stock,1,249945,,great,2021-03-05T13:06:08.199,True,6304,40710,True,False
hyundai i10,2008,petrol,62730,259599,bengaluru,336,hatchback,manual,magna 1.2,False,bengaluru,karnataka,True,ka51,inperson_sale,hyundai,i10,in_stock,3,216598,,great,2021-04-16T11:36:28.982,True,6030,38940,False,False
maruti swift,2014,petrol,32555,397899,new delhi,1488,hatchback,manual,vxi,True,kanpur,uttar pradesh,True,up78,inperson_sale,maruti,swift,in_stock,1,406490,407990.0,great,2021-03-20T08:35:27.423,True,9242,59685,True,False
maruti wagon r 1.0,2011,petrol & cng,114593,235299,hyderabad,393,hatchback,manual,lxi cng,True,hyderabad,telangana,True,ap29,inperson_sale,maruti,wagon r 1.0,in_stock,2,227400,,great,2020-10-03T09:59:16.677,True,5465,35295,False,True
maruti celerio,2015,petrol,26209,384999,mumbai,2405,hatchback,automatic,vxi amt,True,ambernath,maharashtra,True,mh05,inperson_sale,maruti,celerio,in_stock,1,383445,,great,2021-03-03T12:52:10.379,True,8943,57750,True,False
volkswagen vento,2011,petrol,18090,319299,pune,1715,sedan,manual,trendline petrol,True,mumbai,maharashtra,True,mh01,inperson_sale,volkswagen,vento,in_stock,1,298375,,great,2021-04-05T08:26:41.274,True,7417,47895,True,False
maruti swift dzire,2014,petrol,68796,503199,bengaluru,351,sedan,manual,vxi 1.2 bs iv,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,swift dzire,in_stock,2,496033,,great,2021-03-27T09:31:25.75,True,11688,75480,False,False
toyota innova,2014,diesel,99985,691699,new delhi,1418,suv,manual,2.5 gx 8 str bs iv,True,delhi,delhi,True,dl8c,inperson_sale,toyota,innova,in_stock,1,700754,870674.0,great,2020-11-11T11:37:39.66,True,16066,103755,False,False
maruti swift,2019,petrol,7641,630399,bengaluru,2039,hatchback,manual,vxi,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,swift,in_stock,1,661963,663463.0,great,2021-03-23T06:09:45.569,True,14643,94560,False,False
maruti ritz,2011,petrol,49947,350000,bengaluru,243,hatchback,manual,vxi bs iv,False,bangalore south,karnataka,False,ka05,online,maruti,ritz,in_stock,2,233000,,fair,2020-05-30T13:24:18.903,True,8130,52500,False,False
maruti wagon r,2007,petrol,14769,167499,pune,2015,hatchback,manual,lxi,True,pune,maharashtra,True,mh12,inperson_sale,maruti,wagon r,in_stock,1,154906,,great,2021-03-07T07:02:54.764,True,3891,25125,True,False
audi a6,2012,diesel,75728,1092616,mumbai,3209,luxury sedan,automatic,2.0 tdi,True,thane,maharashtra,True,mh04,inperson_sale,audi,a6,in_stock,2,1140771,1142271.0,great,2021-03-12T11:27:28.608,True,25379,163893,False,False
maruti alto,2011,petrol,23837,242099,hyderabad,289,hatchback,manual,lxi,True,hyderabad,telangana,True,ap09,inperson_sale,maruti,alto,in_stock,1,229930,242199.0,great,2021-02-10T09:48:19.957,True,5623,36315,False,False
hyundai i10,2009,petrol,85240,151999,pune,1482,hatchback,manual,magna 1.2,True,mumbai west,maharashtra,True,mh02,inperson_sale,hyundai,i10,in_stock,1,138564,,great,2021-02-01T10:46:37.539,True,3531,22800,True,False
hyundai santro xing,2008,petrol,29650,157299,pune,4162,hatchback,manual,gls,True,pune,maharashtra,True,mh12,inperson_sale,hyundai,santro xing,in_stock,2,145821,157399.0,great,2021-03-30T11:45:51.085,True,3654,23595,False,False
